order_id,line_item_id,created_at,updated_at,title,quantity,sku,product_id,product_type,variant_id,variant_sku,variant_price,original_total,discounted_total,discount_codes,discount_amounts
#477378,gid://shopify/LineItem/16024258117731,2025-04-17 13:27:30,2025-04-17 13:27:36,Mystic Plum Harem Pants,1,90209-PKT-M,gid://shopify/Product/7669329428579,Pants,gid://shopify/ProductVariant/42906131824739,90209-PKT-M,39.99,39.99,39.99,WELCOME20,7.99
#477379,gid://shopify/LineItem/16024259985507,2025-04-17 13:28:16,2025-04-17 13:28:24,Midnight Lotus Moon Harem Pants,1,90229-PKT-L,gid://shopify/Product/7748279926883,Pants,gid://shopify/ProductVariant/43220823539811,90229-PKT-L,39.99,39.99,39.99,,
#477380,gid://shopify/LineItem/16024276729955,2025-04-17 13:31:29,2025-04-17 13:31:50,Deep Teal Harem Pants,1,90120-PKT-S,gid://shopify/Product/6873234079843,Pants,gid://shopify/ProductVariant/41621864513635,90120-PKT-S,39.99,39.99,39.99,,
#477381,gid://shopify/LineItem/16024313561187,2025-04-17 13:42:10,2025-04-17 13:42:24,Seaside Spice Nomad Jumpsuit,1,81196C-ADJ-L,gid://shopify/Product/7600332046435,Romper,gid://shopify/ProductVariant/42640212263011,81196C-ADJ-L,46.99,46.99,46.99,sms20,9.39
#477382,gid://shopify/LineItem/16024316477539,2025-04-17 13:43:24,2025-04-17 13:43:32,Mystery Harem Pants,1,MYST-HAR-S,gid://shopify/Product/6667793727587,Pants,gid://shopify/ProductVariant/41829911461987,MYST-HAR-S,22.22,22.22,22.22,,
#477383,gid://shopify/LineItem/16024350064739,2025-04-17 13:51:58,2025-04-17 13:52:06,Denim Blue Tribal Shorts,1,93240,gid://shopify/Product/7729890984035,Shorts,gid://shopify/ProductVariant/43161175654499,93240,32.0,32.0,32.0,937G2TR9,4.78
#477383,gid://shopify/LineItem/16024350097507,2025-04-17 13:51:58,2025-04-17 13:52:06,Storm Cotton Shorts,1,93217CSM,gid://shopify/Product/7729835311203,Shorts,gid://shopify/ProductVariant/43161035407459,93217CSM,34.99,34.99,34.99,937G2TR9,5.22
#477384,gid://shopify/LineItem/16024350883939,2025-04-17 13:52:30,2025-04-17 14:55:01,Nutmeg Boyfriend Button Up,1,85158C1-M,gid://shopify/Product/7275818418275,Tops,gid://shopify/ProductVariant/41565993336931,85158C1-M,29.99,29.99,29.99,WELCOME20,5.99
#477384,gid://shopify/LineItem/16024350916707,2025-04-17 13:52:30,2025-04-17 14:55:01,Pampa Point Drawstring Shorts,1,83139-M,gid://shopify/Product/7160095047779,Shorts,gid://shopify/ProductVariant/41217823211619,83139-M,16.5,16.5,16.5,WELCOME20,3.3
#477384,gid://shopify/LineItem/16024350949475,2025-04-17 13:52:30,2025-04-17 14:55:01,Malibu Drawstring Shorts,1,83175-M,gid://shopify/Product/7219139084387,Shorts,gid://shopify/ProductVariant/41388303319139,83175-M,16.5,16.5,16.5,WELCOME20,3.3
#477384,gid://shopify/LineItem/16024350982243,2025-04-17 13:52:30,2025-04-17 14:55:01,Oxford Drawstring Shorts,1,83155-M,gid://shopify/Product/7214208974947,Shorts,gid://shopify/ProductVariant/41372168519779,83155-M,19.99,19.99,19.99,WELCOME20,3.99
#477384,gid://shopify/LineItem/16024351015011,2025-04-17 13:52:30,2025-04-17 14:55:01,Nutmeg Boardwalk Romper,1,96158C-ADJ-L,gid://shopify/Product/7603873874019,Romper,gid://shopify/ProductVariant/42651366686819,96158C-ADJ-L,34.99,34.99,34.99,WELCOME20,6.99
#477385,gid://shopify/LineItem/16024358518883,2025-04-17 13:54:32,2025-04-17 13:54:54,Vintage Wash Bondi Harem Pants,1,90172-PKT-S,gid://shopify/Product/7035440693347,Pants,gid://shopify/ProductVariant/41427629375587,90172-PKT-S,39.99,39.99,39.99,WELCOME20,7.99
#477386,gid://shopify/LineItem/16024381784163,2025-04-17 14:05:22,2025-04-17 14:05:35,Lahu Tribal Print Harem Pants,1,90179-PKT-L,gid://shopify/Product/7214157791331,Pants,gid://shopify/ProductVariant/41372056060003,90179-PKT-L,39.99,39.99,39.99,,
#477386,gid://shopify/LineItem/16024381816931,2025-04-17 14:05:22,2025-04-17 14:05:35,Black Harem Pants,1,90105-PKT-L,gid://shopify/Product/6799865839715,Pants,gid://shopify/ProductVariant/41633977860195,90105-PKT-L,39.99,39.99,39.99,,
