order_id,delivery_id,ship_date,scheduled_date,invoice_id,invoice_number,invoice_amount_residual,due_date,channel,payment_terms,invoice_move_id,payment_ids,total_paid,amount_residual
S04280,136972,2025-04-23 16:00:00,2025-04-23 16:00:00,,,,2025-04-23 16:00:00,Wholesale,Due on Ship,,[],0.0,176.5
S04283,137008,2025-04-23 17:00:00,2025-04-23 17:00:00,,,,2025-04-23 17:00:00,Wholesale,Due on Ship,,[],0.0,754.0
S04285,137032,2025-04-23 18:00:00,2025-04-23 18:00:00,,,,2025-04-23 18:00:00,Wholesale,Due on Ship,,[],0.0,1436.18
S04285,137031,2025-04-23 18:00:00,2025-04-23 18:00:00,,,,2025-04-23 18:00:00,Wholesale,Due on Ship,,[],0.0,1436.18
S04228,136715,2025-04-23 18:00:00,2025-04-23 18:00:00,,,,2025-04-23 18:00:00,Wholesale,Due on Ship,,[],0.0,930.44
S04286,137040,2025-04-23 19:00:00,2025-04-23 19:00:00,,,,2025-05-23 19:00:00,Wholesale,30 Days,,[],0.0,586.94
S03714,136977,2025-04-24 15:00:00,2025-04-24 15:00:00,,,,2025-05-24 15:00:00,Wholesale,30 Days,,[],0.0,2996.96
S03714,117893,2025-04-24 15:00:00,2025-04-24 15:00:00,,,,2025-05-24 15:00:00,Wholesale,30 Days,,[],0.0,2996.96
#XV378S68VU,132564,2025-04-24 16:27:02,2025-04-24 16:27:02,,,,2025-05-24 16:27:02,Faire,30 Days,,[],0.0,260.5
NONE,133209,2025-04-25 22:00:00,2025-04-25 22:00:00,,,,2025-04-25 22:00:00,,,,[],0.0,
#N5EZQGX223,136140,2025-04-28 04:00:00,2025-04-28 04:00:00,,,,2025-05-28 04:00:00,Faire,30 Days,,[],0.0,783.94
#K35V44ENFH,116019,2025-04-28 11:59:59,2025-04-28 11:59:59,,,,2025-05-28 11:59:59,Faire,30 Days,,[],0.0,30.17
#HYGFNAMGCQ,116021,2025-04-28 14:31:59,2025-04-28 14:31:59,,,,2025-05-28 14:31:59,Faire,30 Days,,[],0.0,981.77
S03978,131153,2025-04-28 19:00:00,2025-04-28 19:00:00,,,,2025-05-28 19:00:00,Wholesale,30 Days,,[],0.0,3979.65
S03978,130083,2025-04-28 19:00:00,2025-04-28 19:00:00,,,,2025-05-28 19:00:00,Wholesale,30 Days,,[],0.0,3979.65
